具<br>グ<br>そな.える、 つぶさ.に、 とも<br>	tool, utensil, means, possess, ingredients, counter for armor, suits, sets of furniture
君<br>クン<br>きみ、 み<br>	old boy, name-suffix
係<br>ケイ<br>かか.る、 かかり、 かか.わる<br>	person in charge, connection, duty, concern oneself
軽<br>ケイ<br>かる.い、 かろ.やか、 かろ.んじる<br>	lightly, trifling, unimportant
決<br>ケツ<br>き.める、 き.まる、 さ.く<br>	decide, fix, agree upon, appoint
血<br>ケツ<br>ち<br>	blood
研<br>ケン<br>と.ぐ、 のり<br>	polish, study of, sharpen
県<br>ケン<br>か.ける、 あがた、 がた<br>	prefecture
庫<br>コ、 ク<br>くら<br>	warehouse, storehouse
湖<br>コ<br>みずうみ、 うみ、 み<br>	lake
